analyzovat;I analyze;I am analyzing;I analyzed;I was analyzing;I will analyze
archivovat;I archive;I am archiving;I archived;I was archiving;I will archive
asistovat;I assist;I am assisting;I assisted;I was assisting;I will assist
automatizovat;I automate;I am automating;I automated;I was automating;I will automate
autorizovat;I authorize;I am authorizing;I authorized;I was authorizing;I will authorize
balit;I pack;I am packing;I packed;I was packing;I will pack
citovat;I cite;I am citing;I cited;I was citing;I will cite
začít;I begin;I am beginning;I began;I was beginning;I will begin
dokončit;I complete;I am completing;I completed;I was completing;I will complete
dotovat;I subsidize;I am subsidizing;I subsidized;I was subsidizing;I will subsidize
kontrolovat;I check;I am checking;I checked;I was checking;I will check
korigovat;I correct;I am correcting;I corrected;I was correcting;I will correct
definovat;I define;I am defining;I defined;I was defining;I will define
programovat;I program;I am programming;I programmed;I was programming;I will program
simulovat;I simulate;I am simulating;I simulated;I was simulating;I will simulate
modelovat;I model;I am modeling;I modeled;I was modeling;I will model
konstruovat;I construct;I am constructing;I constructed;I was constructing;I will construct
navigovat;I navigate;I am navigating;I navigated;I was navigating;I will navigate
upravovat;I edit;I am editing;I edited;I was editing;I will edit
transformovat;I transform;I am transforming;I transformed;I was transforming;I will transform
indikovat;I indicate;I am indicating;I indicated;I was indicating;I will indicate
interpretovat;I interpret;I am interpreting;I interpreted;I was interpreting;I will interpret
demonstrovat;I demonstrate;I am demonstrating;I demonstrated;I was demonstrating;I will demonstrate
dokumentovat;I document;I am documenting;I documented;I was documenting;I will document
zpracovat;I process;I am processing;I processed;I was processing;I will process
publikovat;I publish;I am publishing;I published;I was publishing;I will publish
napsat;I write;I am writing;I wrote;I was writing;I will write
nahrát;I upload;I am uploading;I uploaded;I was uploading;I will upload
nastavit;I set;I am setting;I set;I was setting;I will set
rozšířit;I expand;I am expanding;I expanded;I was expanding;I will expand
podporovat;I support;I am supporting;I supported;I was supporting;I will support
řídit;I manage;I am managing;I managed;I was managing;I will manage
zobrazit;I display;I am displaying;I displayed;I was displaying;I will display
navrhnout;I propose;I am proposing;I proposed;I was proposing;I will propose
vyrábět;I manufacture;I am manufacturing;I manufactured;I was manufacturing;I will manufacture
sestavit;I assemble;I am assembling;I assembled;I was assembling;I will assemble
testovat;I test;I am testing;I tested;I was testing;I will test
měřit;I measure;I am measuring;I measured;I was measuring;I will measure
optimalizovat;I optimize;I am optimizing;I optimized;I was optimizing;I will optimize
charakterizovat;I characterize;I am characterizing;I characterized;I was characterizing;I will characterize
ověřit;I verify;I am verifying;I verified;I was verifying;I will verify
validovat;I validate;I am validating;I validated;I was validating;I will validate
verifikovat;I verify;I am verifying;I verified;I was verifying;I will verify
aplikovat;I apply;I am applying;I applied;I was applying;I will apply
posoudit;I assess;I am assessing;I assessed;I was assessing;I will assess
navýšit;I increase;I am increasing;I increased;I was increasing;I will increase
zredukovat;I reduce;I am reducing;I reduced;I was reducing;I will reduce
kompilovat;I compile;I am compiling;I compiled;I was compiling;I will compile
analyzovat (opětovně použijeme jiný kontext: data);I analyze;I am analyzing;I analyzed;I was analyzing;I will analyze
nastoupit;I enter;I am entering;I entered;I was entering;I will enter
vylepšit;I improve;I am improving;I improved;I was improving;I will improve
navrhovat;I design;I am designing;I designed;I was designing;I will design
popsat;I describe;I am describing;I described;I was describing;I will describe
prezentovat;I present;I am presenting;I presented;I was presenting;I will present
generovat;I generate;I am generating;I generated;I was generating;I will generate
měnit;I change;I am changing;I changed;I was changing;I will change
rozdělit;I divide;I am dividing;I divided;I was dividing;I will divide
importovat;I import;I am importing;I imported;I was importing;I will import
exportovat;I export;I am exporting;I exported;I was exporting;I will export
ukládat;I save;I am saving;I saved;I was saving;I will save
vyhodnotit;I evaluate;I am evaluating;I evaluated;I was evaluating;I will evaluate
předvídat;I predict;I am predicting;I predicted;I was predicting;I will predict
navázat;I establish;I am establishing;I established;I was establishing;I will establish
stahovat;I download;I am downloading;I downloaded;I was downloading;I will download
implementovat;I implement;I am implementing;I implemented;I was implementing;I will implement
navštívit;I visit;I am visiting;I visited;I was visiting;I will visit
vysvětlit;I explain;I am explaining;I explained;I was explaining;I will explain
porovnávat;I compare;I am comparing;I compared;I was comparing;I will compare
seřadit;I sort;I am sorting;I sorted;I was sorting;I will sort
rozpoznat;I recognize;I am recognizing;I recognized;I was recognizing;I will recognize
kopírovat;I copy;I am copying;I copied;I was copying;I will copy
zkoumat;I investigate;I am investigating;I investigated;I was investigating;I will investigate
popsat (jiný kontext, např. vlastnosti);I describe;I am describing;I described;I was describing;I will describe
spravovat;I administer;I am administering;I administered;I was administering;I will administer
aktivovat;I activate;I am activating;I activated;I was activating;I will activate
odeslat;I send;I am sending;I sent;I was sending;I will send
připojit;I connect;I am connecting;I connected;I was connecting;I will connect
odpojit;I disconnect;I am disconnecting;I disconnected;I was disconnecting;I will disconnect
spustit;I run;I am running;I ran;I was running;I will run
zastavit;I stop;I am stopping;I stopped;I was stopping;I will stop
přesunout;I move;I am moving;I moved;I was moving;I will move
zachovat;I preserve;I am preserving;I preserved;I was preserving;I will preserve
komunikovat;I communicate;I am communicating;I communicated;I was communicating;I will communicate
revidovat;I revise;I am revising;I revised;I was revising;I will revise
hodnotit;I rate;I am rating;I rated;I was rating;I will rate
smontovat;I assemble;I am assembling;I assembled;I was assembling;I will assemble
rozmontovat;I disassemble;I am disassembling;I disassembled;I was disassembling;I will disassemble
vyrobit;I produce;I am producing;I produced;I was producing;I will produce
archivovat (jiný kontext, např. stará data);I archive;I am archiving;I archived;I was archiving;I will archive
odsouhlasit;I approve;I am approving;I approved;I was approving;I will approve
odmítnout;I reject;I am rejecting;I rejected;I was rejecting;I will reject
resetovat;I reset;I am resetting;I reset;I was resetting;I will reset
vymazat;I delete;I am deleting;I deleted;I was deleting;I will delete
nainstalovat;I install;I am installing;I installed;I was installing;I will install
odinstalovat;I uninstall;I am uninstalling;I uninstalled;I was uninstalling;I will uninstall
číst;I read;I am reading;I read;I was reading;I will read
sdílet;I share;I am sharing;I shared;I was sharing;I will share
tisknout;I print;I am printing;I printed;I was printing;I will print
skenovat;I scan;I am scanning;I scanned;I was scanning;I will scan
naskenovat;I scan;I am scanning;I scanned;I was scanning;I will scan
montovat (obecně);I assemble;I am assembling;I assembled;I was assembling;I will assemble
varovat;I warn;I am warning;I warned;I was warning;I will warn
konzultovat;I consult;I am consulting;I consulted;I was consulting;I will consult
generovat (jiný kontext, např. sestavy);I generate;I am generating;I generated;I was generating;I will generate
alokovat;I allocate;I am allocating;I allocated;I was allocating;I will allocate
vyřadit;I discard;I am discarding;I discarded;I was discarding;I will discard
udržovat;I maintain;I am maintaining;I maintained;I was maintaining;I will maintain
prověřit;I examine;I am examining;I examined;I was examining;I will examine
dohledat;I locate;I am locating;I located;I was locating;I will locate
vyhledat;I search;I am searching;I searched;I was searching;I will search
zajišťovat;I ensure;I am ensuring;I ensured;I was ensuring;I will ensure
vyměnit;I replace;I am replacing;I replaced;I was replacing;I will replace
importovat (jiný kontext, data);I import;I am importing;I imported;I was importing;I will import
organizovat;I organize;I am organizing;I organized;I was organizing;I will organize
upravit;I adjust;I am adjusting;I adjusted;I was adjusting;I will adjust
uklidit;I tidy;I am tidying;I tidied;I was tidying;I will tidy
třídit;I classify;I am classifying;I classified;I was classifying;I will classify
předat;I hand over;I am handing over;I handed over;I was handing over;I will hand over
spolupracovat;I collaborate;I am collaborating;I collaborated;I was collaborating;I will collaborate
sjednotit;I unify;I am unifying;I unified;I was unifying;I will unify
namodelovat;I model;I am modeling;I modeled;I was modeling;I will model
zabezpečit;I secure;I am securing;I secured;I was securing;I will secure
šifrovat;I encrypt;I am encrypting;I encrypted;I was encrypting;I will encrypt
dešifrovat;I decrypt;I am decrypting;I decrypted;I was decrypting;I will decrypt
komprimovat;I compress;I am compressing;I compressed;I was compressing;I will compress
dekomprimovat;I decompress;I am decompressing;I decompressed;I was decompressing;I will decompress
předložit;I submit;I am submitting;I submitted;I was submitting;I will submit
otestovat;I test;I am testing;I tested;I was testing;I will test
omezit;I limit;I am limiting;I limited;I was limiting;I will limit
nasimulovat;I simulate;I am simulating;I simulated;I was simulating;I will simulate
vynechat;I omit;I am omitting;I omitted;I was omitting;I will omit
seřídit;I adjust;I am adjusting;I adjusted;I was adjusting;I will adjust
pojmenovat;I name;I am naming;I named;I was naming;I will name
spočítat;I calculate;I am calculating;I calculated;I was calculating;I will calculate
vyřešit;I solve;I am solving;I solved;I was solving;I will solve
opakovat;I repeat;I am repeating;I repeated;I was repeating;I will repeat
léčit (v kontextu laboratorních testů, výzkumu léků);I treat;I am treating;I treated;I was treating;I will treat
ohodnotit;I evaluate;I am evaluating;I evaluated;I was evaluating;I will evaluate
aktualizovat;I update;I am updating;I updated;I was updating;I will update
